Player,Handeness,Age,Team,Lg,G,GS,IP,K%,BB%,HR%,TTO%,WPA,WAR
Logan Webb,RHP,28,SFG,NL,34,34,207,26.2,5.4,1.6,19.2,1.6,3.8
Garrett Crochet,LHP,26,BOS,AL,32,32,205.1,31.3,5.7,2.9,22.7,4.7,6.3
Cristopher Sánchez,LHP,28,PHI,NL,32,32,202,26.3,5.5,1.5,19.3,4.7,8
Max Fried,LHP,31,NYY,AL,31,31,195.1,23.6,6.4,1.7,15.5,2.1,6.5
Carlos Rodón,LHP,32,NYY,AL,33,33,195.1,25.7,9.3,2.8,13.6,2.1,4.6
Tarik Skubal,LHP,28,DET,AL,32,32,195.1,32.2,4.4,2.4,25.4,4,4.4
Kevin Gausman,RHP,34,TOR,AL,32,32,193,24.4,6.5,2.7,15.2,1.6,3.8
Zac Gallen,RHP,29,ARI,NL,31,31,192,21.5,8.1,3.8,9.6,-1.4,3.8
Framber Valdez,LHP,31,HOU,AL,33,33,192,23.3,8.5,1.9,12.9,1.5,1.1
Paul Skenes,RHP,23,PIT,NL,32,32,187.2,29.5,5.7,1.5,22.3,5.1,7.7
Bryan Woo,RHP,25,SEA,AL,30,30,186.2,27.1,4.9,3.6,18.6,1.8,4.2
Zack Littell,RHP,29,2TM,2LG,32,32,186.2,17.1,4.2,4.7,8.2,0.3,3.2
Hunter Brown,RHP,26,HOU,AL,31,31,185.1,28.3,7.8,2.3,18.2,3.4,6.1
Merrill Kelly,RHP,36,2TM,2LG,32,32,184,22.3,6.4,3.1,12.8,1.3,2.9
Jesús Luzardo,LHP,27,PHI,NL,32,32,183.2,28.5,7.5,2.1,18.9,1.7,3.9
Tanner Bibee,RHP,26,CLE,AL,32,32,182.1,21.3,7.1,3.5,10.7,-0.5,2.8
Robbie Ray,LHP,33,SFG,NL,31,31,182.1,24.6,9.7,2.9,12,0.6,1.1
Nick Pivetta,RHP,32,SDP,NL,31,31,181.2,26.4,6.9,3.1,16.4,3,5.3
Luis Castillo,RHP,32,SEA,AL,32,32,180.2,21.7,6.2,3.1,12.4,0.8,2.1
Sonny Gray,RHP,35,STL,NL,32,32,180.2,26.7,5,3.3,18.4,0.5,1.4
Jake Irvin,RHP,28,WSN,NL,33,33,180,15.8,7.9,4.8,3.1,-3.1,-0.4
Matthew Boyd,LHP,34,CHC,NL,31,31,179.2,21.4,5.8,2.6,13,1.1,2.5
Yusei Kikuchi,LHP,34,LAA,AL,33,33,178.1,22.5,9.6,3.1,9.8,-0.2,3.3
Freddy Peralta,RHP,29,MIL,NL,33,33,176.2,28.2,9.1,2.9,16.2,3.5,5.5
Brandon Pfaadt,RHP,26,ARI,NL,33,33,176.2,19.2,4.8,3.4,11,-1,0.6
Mitch Keller,RHP,29,PIT,NL,32,32,176.1,20,6.8,2.8,10.4,-0.4,1.4
Sandy Alcantara,RHP,29,MIA,NL,31,31,174.2,19.1,7.7,3,8.4,-1.3,0.1
Yoshinobu Yamamoto,RHP,26,LAD,NL,30,30,173.2,29.4,8.6,2,18.8,4,4.9
Jacob deGrom,RHP,37,TEX,AL,30,30,172.2,27.7,5.5,3.9,18.3,2.4,2.9
Michael Wacha,RHP,33,KCR,AL,31,31,172.2,17.6,6.3,2.1,9.2,1.8,2.8
Dean Kremer,RHP,29,BAL,AL,31,29,171.2,20.1,6.4,3.1,10.6,0,2.2
Joe Ryan,RHP,29,MIN,AL,31,30,171,28.2,5.7,3.8,18.7,2.2,4.5
Jeffrey Springs,LHP,32,ATH,AL,32,30,171,19.4,7.6,3.9,7.9,-0.7,2
Chris Bassitt,RHP,36,TOR,AL,32,31,170.1,22.6,7.1,3,12.5,0.4,2.1
Brady Singer,RHP,28,CIN,NL,32,32,169.2,22.8,8.4,2.7,11.7,1.4,3.1
José Soriano,RHP,26,LAA,AL,31,31,169,21,10.8,1.7,8.5,-0.2,2.4
David Peterson,LHP,29,NYM,NL,30,30,168.2,20.7,9,1.5,10.2,0.2,1.4
Dylan Cease,RHP,29,SDP,NL,32,32,168,29.8,9.8,2.9,17.1,-0.9,1.1
Ryan Pepiot,RHP,27,TBR,AL,31,31,167.2,24.6,9,3.8,11.8,0.6,3.8
Gavin Williams,RHP,25,CLE,AL,31,31,167.2,24.6,11.8,3.3,9.5,1.8,1.9
Brayan Bello,RHP,26,BOS,AL,29,28,166.2,17.7,8.4,2.3,7,1,2.5
Andrew Abbott,LHP,26,CIN,NL,29,29,166.1,21.8,6.3,2.8,12.7,2.9,5.6
Shane Baz,RHP,26,TBR,AL,31,31,166.1,24.8,9,3.7,12.1,-0.7,0.4
José Berríos,RHP,31,TOR,AL,31,30,166,19.8,8,3.7,8.1,0.2,1.3
Clay Holmes,RHP,32,NYM,NL,40,26,165.2,18.2,9.3,2,6.9,0.7,2.3
Nick Martinez,RHP,34,CIN,NL,33,31,165.2,17,6.1,3.2,7.7,0.4,1.9
Kyle Hendricks,RHP,35,LAA,AL,31,31,164.2,16.4,6.2,3.6,6.6,-0.7,1.7
Mitchell Parker,LHP,25,WSN,NL,33,30,164.2,14.2,8,3.4,2.8,-2.1,-1.2
Kyle Freeland,LHP,32,COL,NL,31,31,162.2,17.5,5.4,3.1,9,-1.4,1.4
Andre Pallante,RHP,26,STL,NL,29,29,162.2,15.5,8.7,2.9,3.9,-2.8,1
Luis Severino,RHP,31,ATH,AL,31,31,162.2,17.6,7.1,2.3,8.2,-0.9,-1.2
Will Warren,RHP,26,NYY,AL,33,33,162.1,24.1,9.1,3.1,11.9,-0.2,0.6
